"colname_en","desc_swe"
"n","Antal"
"PID","Unikt DiVA-nummer"
"check_key","Första bokstav på författarnas efternamn + publiceringsår"
"n_check","Antal multipletter"
"Name","Namn"
"PublicationType","Publikationstyp"
"ContentType","Innehållstyp"
"Language","Språk"
"Journal","Tidskrift"
"JournalISSN","ISSN för tidskrift"
"JournalEISSN","EISSN för tidskrift"
"Status","Status"
"Volume","Volym"
"Issue","Nummer"
"HostPublication","Värdpublikation"
"StartPage","Första sida"
"EndPage","Sista sida"
"Year","Publiceringsår"
"Edition","Utgåva"
"Pages","Sidor"
"City","Ort"
"Publisher","Förlag"
"Series","Serie"
"SeriesISSN","ISSN för serie"
"SeriesEISSN","EISSN för serie"
"ISBN","ISBN"
"Urls","Länkar"
"ISRN","ISRN"
"DOI","DOI"
"ISI","ISI"
"PMID","PMID"
"ScopusId","ScopusId"
"NBN","NBN"
"LocalId",
"ArchiveNumber",
"Keywords","Ämnesord"
"Categories","Nationell ämneskategori"
"ResearchSubjects","Forskningsämne"
"Projects",
"Notes","Anteckningar"
"Abstract","Sammanfattning"
"Opponents",
"Supervisors",
"Examiners",
"Patent",
"ThesisLevel",
"Credits",
"Programme",
"Subject","Ämnesord"
"Uppsok",
"DefencePlace",
"DefenceLanguage",
"DefenceDate",
"CreatedDate","Datum när posten lades in i DiVA"
"PublicationDate","Datum när posten publicerades i DiVA"
"LastUpdated","Datum när publikationen senast uppdaterades i DiVA"
"FullTextLink",
"Funder",
"NumberOfAuthors",
"ExternalCooperation",
"FridaLevel",
"PartOfThesis",
"PublicationSubtype",
"Conference",
"Term",
"ArticleId",
"Reviewed",
"FreeFulltext",
"SustainableDevelopment",
"Contributor",
"name","Namn"
"kthid","KTH-id"
"orcid","ORCiD"
"orgids","Organisationskoder"
"extorg","Externa affilieringar"
"uses_etal","Författarlistan förkortad med ""et al."""
"n_aff_ext","Antal externa affilieringar"
"n_aff_kth","Antal KTH-affilieringar"
"pids","Unika DiVA-nummer"
"n_pid","Antal unika DiVA-nummer"
"has_notes","Uppgifter i kommentarsfältet"
"is_not_published","Ej publicerad"
"is_QSorNQC","Har QS eller NQC i kommentarsfältet"
"ScopusId_link","Länk till Scopus"
"DOI_link","Länk till publikationen"
"n_pids","Antal unika DiVA-nummer"
